Dataset,Metric,Comparison,Test Type,P-value,Significance,Mean_Diff (OPNs - Base),95% CI Lower,95% CI Upper
iris,F1,OPNs vs EDK,Paired t-test,0.00036971412971647605,** (p<0.01),0.48231236776850395,0.284713063491163,0.6799116720458449
iris,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.6683113816053743,0.49254389691039624,0.8440788663003523
iris,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.7397617492667856,0.5937690292798554,0.8857544692537158
iris,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.10908162528076445,0.10515421967629855,0.11300903088523036
iris,F1,OPNs vs KKM(l),Paired t-test,7.05936590573787e-12,** (p<0.01),0.13960004392205333,0.1325304222516313,0.14666966559247535
iris,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.1314669882895138,0.12825627702847897,0.13467769955054865
iris,F1,OPNs vs TDEC,Wilcoxon test,0.037109375,* (p<0.05),0.12506669723895564,0.0040248127063993305,0.24610858177151196
iris,F1,OPNs vs ZEUS,Wilcoxon test,0.013671875,* (p<0.05),0.0920892402389556,0.034544585244959465,0.14963389523295173
iris,F1,OPNs vs IDC,Paired t-test,0.7053871235823391,ns (Not Significant),0.005623752117435432,-0.02697068097242123,0.038218185207292095
balance,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.15082230234483346,0.08372945305071344,0.21791515163895347
balance,F1,OPNs vs MDK,Paired t-test,0.00010030924795596734,** (p<0.01),0.1978466768302921,0.1299419328356911,0.2657514208248931
balance,F1,OPNs vs CDK,Paired t-test,0.00026486028133503666,** (p<0.01),0.19041326022080535,0.11593657390630685,0.26488994653530384
balance,F1,OPNs vs KKM(p),Paired t-test,2.713237867248988e-07,** (p<0.01),0.05391317850775641,0.04491454563042203,0.0629118113850908
balance,F1,OPNs vs KKM(l),Paired t-test,5.411848288967819e-07,** (p<0.01),0.04462635533120747,0.036554118977102694,0.05269859168531225
balance,F1,OPNs vs KKM(r),Paired t-test,1.3210667527562023e-05,** (p<0.01),0.05202442999335931,0.03822769547134483,0.06582116451537379
balance,F1,OPNs vs TDEC,Paired t-test,0.3752810254654336,ns (Not Significant),-0.024442743169573865,-0.08372087778718831,0.03483539144804059
balance,F1,OPNs vs ZEUS,Paired t-test,0.0012542699962115606,** (p<0.01),0.08926082203042614,0.04555519140913699,0.13296645265171528
