数据集,算法,ARI平均,ARI_Std,ACC平均,ACC_Std,平均迭代次数,迭代_Std,,,,,,,,,,,,,,,,,
iris,KKM(l),0.6078,0.0109,0.8247,0.0079,4.4000,1.1136,,,,,,,,,,,,,,,,,
,KKM(p),0.6353,0.0741,0.8587,0.0040,7.7200,3.1562,,,,,,,,,,,,,,,,,
,KKM(r),0.6191,0.0030,0.8327,0.0020,6.0000,2.6458,,,,,,,,,,,,,,,,,
,TDEC,0.6574,0.1611,0.8667,0.1116,,,,,,,,,,,,,,,,,,,
,ZEUS,0.6746,0.1925,0.8733,0.0798,,,,,,,,,,,,,,,,,,,
,IDC,0.8862,0.1293,0.9600,0.0442,,,,,,,,,,,,,,,,,,,
,EDK,0.5797,0.0796,0.7729,0.1134,5.7800,1.5425,,,,,,,,,,,,,,,,,
,MDK,0.6110,0.0987,0.7944,0.1179,8.0200,3.6393,,,,,,,,,,,,,,,,,
,CDK,0.6052,0.0067,0.8223,0.0042,6.5400,2.5331,,,,,,,,,,,,,,,,,
,TDK,0.6540,0.1217,0.8019,0.1516,6.7200,2.1289,,,,,,,,,,,,,,,,,
,OPNs-Kmeans,0.7109,0.1869,0.9627,0.0034,5.1400,1.7400,,,,,,,,,,,,,,,,,
weather,KKM(l),0.0175,0.0233,0.6227,0.0291,2.4000,1.0198,,,,,,,,,,,,,,,,,
,KKM(p),0.0076,0.0570,0.8587,0.0040,3.1200,1.4918,,,,,,,,,,,,,,,,,
,KKM(r),0.0070,0.0218,0.6136,0.0227,2.4000,1.1136,,,,,,,,,,,,,,,,,
,TDEC,0.7000,0.6000,0.9333,0.1333,,,,,,,,,,,,,,,,,,,
,ZEUS,0.7000,0.6325,0.9333,0.1405,,,,,,,,,,,,,,,,,,,
,IDC,0.7167,0.4349,0.8800,0.2040,,,,,,,,,,,,,,,,,,,
,EDK,0.0119,0.0552,0.6064,0.0556,3.0400,0.9889,,,,,,,,,,,,,,,,,
,MDK,-0.0062,0.0237,0.5927,0.0378,3.0800,1.3679,,,,,,,,,,,,,,,,,
,CDK,-0.0036,0.0269,0.6000,0.0305,3.0800,1.0270,,,,,,,,,,,,,,,,,
,TDK,0.0081,0.0610,0.6055,0.0490,3.5000,1.2976,,,,,,,,,,,,,,,,,
,OPNs-Kmeans,0.1298,0.1392,0.8818,0.0439,2.5200,0.6500,,,,,,,,,,,,,,,,,
led7digit,KKM(l),0.4237,0.0375,0.5956,0.0452,4.4000,0.9165,,,,,,,,,,,,,,,,,
,KKM(p),0.3715,0.0479,0.5754,0.0442,6.8800,1.5829,,,,,,,,,,,,,,,,,
,KKM(r),0.4323,0.0367,0.6100,0.0483,4.1000,1.1358,,,,,,,,,,,,,,,,,
,TDEC,0.4286,0.0850,0.6060,0.0566,,,,,,,,,,,,,,,,,,,
,ZEUS,0.4420,0.0916,0.6725,0.0818,,,,,,,,,,,,,,,,,,,
,IDC,0.5253,0.0485,0.7430,0.0287,,,,,,,,,,,,,,,,,,,
,EDK,0.3845,0.0540,0.5379,0.0641,6.0000,1.5119,,,,,,,,,,,,,,,,,
,MDK,0.4064,0.0516,0.5573,0.0636,6.2600,1.6637,,,,,,,,,,,,,,,,,
,CDK,0.4403,0.0572,0.5674,0.0560,21.5600,9.8502,,,,,,,,,,,,,,,,,
,TDK,0.3566,0.0559,0.5252,0.0657,5.5000,1.1995,,,,,,,,,,,,,,,,,
,OPNs-Kmeans,0.3585,0.0380,0.6168,0.0497,4.9000,1.5000,,,,,,,,,,,,,,,,,
segment,KKM(l),0.4705,0.0083,0.5787,0.0213,15.9000,7.1617,,,,,,,,,,,,,,,,,
,KKM(p),0.4542,0.0762,0.6048,0.0467,17.9600,7.6862,,,,,,,,,,,,,,,,,
,KKM(r),0.4865,0.0431,0.6143,0.0429,21.1000,9.2353,,,,,,,,,,,,,,,,,
,TDEC,0.4310,0.0794,0.5714,0.0680,,,,,,,,,,,,,,,,,,,
,ZEUS,0.0218,0.0097,0.2627,0.0182,,,,,,,,,,,,,,,,,,,
,IDC,0.7762,0.0235,0.8872,0.0125,,,,,,,,,,,,,,,,,,,
,EDK,0.4768,0.0523,0.5893,0.0564,18.0400,6.5371,,,,,,,,,,,,,,,,,
,MDK,0.4654,0.0417,0.5852,0.0429,19.1600,9.2898,,,,,,,,,,,,,,,,,
,CDK,0.4055,0.0447,0.5780,0.0530,6.1200,1.6368,,,,,,,,,,,,,,,,,
,TDK,0.4825,0.0363,0.6178,0.0467,18.4400,9.8751,,,,,,,,,,,,,,,,,
,OPNs-Kmeans,0.4679,0.0586,0.6972,0.0131,18.1800,9.6700,,,,,,,,,,,,,,,,,
sonar,KKM(l),-0.0003,0.0041,0.5375,0.0085,7.5000,4.9649,,,,,,,,,,,,,,,,,
,KKM(p),0.0087,0.0095,0.5457,0.0126,7.9600,3.4523,,,,,,,,,,,,,,,,,
,KKM(r),0.0148,0.0176,0.5654,0.0283,8.5000,3.4713,,,,,,,,,,,,,,,,,
,TDEC,0.0800,0.0809,0.6490,0.0519,,,,,,,,,,,,,,,,,,,
,ZEUS,0.0105,0.0696,0.5921,0.0747,,,,,,,,,,,,,,,,,,,
,IDC,0.5311,0.0969,0.8667,0.0340,,,,,,,,,,,,,,,,,,,
,EDK,0.0058,0.0107,0.5463,0.0221,7.8200,3.2620,,,,,,,,,,,,,,,,,
,MDK,0.0034,0.0093,0.5405,0.0199,8.4200,4.1112,,,,,,,,,,,,,,,,,
,CDK,0.0110,0.0140,0.5563,0.0279,5.2000,1.3553,,,,,,,,,,,,,,,,,
,TDK,0.0049,0.0060,0.5468,0.0153,8.9800,3.6337,,,,,,,,,,,,,,,,,
,OPNs-Kmeans,0.1194,0.1020,0.7678,0.0116,7.4400,3.6000,,,,,,,,,,,,,,,,,
heart,KKM(l),0.4694,0.0161,0.8433,0.0060,7.2000,3.8678,,,,,,,,,,,,,,,,,
,KKM(p),0.4643,0.0156,0.8415,0.0057,11.1000,4.1581,,,,,,,,,,,,,,,,,
,KKM(r),0.4625,0.0212,0.8407,0.0079,5.8000,1.2490,,,,,,,,,,,,,,,,,
,TDEC,0.1191,0.0950,0.7630,0.0646,,,,,,,,,,,,,,,,,,,
,ZEUS,0.0079,0.0471,0.6605,0.0986,,,,,,,,,,,,,,,,,,,
,IDC,0.8848,0.0858,0.8056,0.0492,,,,,,,,,,,,,,,,,,,
,EDK,0.4261,0.0381,0.8270,0.0145,9.7800,3.3944,,,,,,,,,,,,,,,,,
,MDK,0.4410,0.0111,0.8329,0.0041,7.8400,2.0138,,,,,,,,,,,,,,,,,
,CDK,0.3550,0.0293,0.7987,0.0121,8.3800,2.7097,,,,,,,,,,,,,,,,,
,TDK,0.1425,0.0932,0.6785,0.0699,6.5200,2.1499,,,,,,,,,,,,,,,,,
,OPNs-Kmeans,0.4955,0.0197,0.8526,0.0069,2.4800,0.5000,,,,,,,,,,,,,,,,,
hepatitis,KKM(l),0.2424,0.0124,0.8375,0.0000,6.6000,2.7276,,,,,,,,,,,,,,,,,
,KKM(p),0.2317,0.0525,0.8375,0.0000,6.3000,2.7586,,,,,,,,,,,,,,,,,
,KKM(r),0.1584,0.0518,0.8375,0.0000,4.2000,1.2490,,,,,,,,,,,,,,,,,
,TDEC,0.4631,0.3528,0.8625,0.1038,,,,,,,,,,,,,,,,,,,
,ZEUS,-0.0028,0.1717,0.6278,0.1061,,,,,,,,,,,,,,,,,,,
,IDC,0.6119,0.3516,0.9438,0.0438,,,,,,,,,,,,,,,,,,,
,EDK,0.2201,0.0694,0.7533,0.0385,6.6800,2.2264,,,,,,,,,,,,,,,,,
,MDK,0.2237,0.0563,0.7703,0.0394,5.0200,1.7437,,,,,,,,,,,,,,,,,
,CDK,0.1374,0.0486,0.6900,0.0335,4.9800,1.2696,,,,,,,,,,,,,,,,,
,TDK,0.2288,0.1449,0.7665,0.0785,5.2400,1.9646,,,,,,,,,,,,,,,,,
,OPNs-Kmeans,0.4739,0.0695,0.8825,0.0121,3.6800,1.5700,,,,,,,,,,,,,,,,,
